member_casual,start_station_name,count(*)
"casual","DuSable Museum",47
"casual","Robert Fulton Elementary School",4
"casual","California Ave & Milwaukee Ave",820
"casual","Campbell Ave & Montrose Ave",116
"casual","California Ave & Division St",272
"casual","Kimbark Ave & 67th St",8
"casual","Wood St & Chicago Ave",296
"casual","Chicago State University",30
"casual","Western Ave & Roscoe St",225
"casual","Kedzie Ave & Lake St",55
"casual","Kenosha & Wellington",51
"casual","Burnham Greenway & 105th St",32
"member","California Ave & Milwaukee Ave",1056
"casual","Public Rack - Laramie Ave & Grand Ave",9
"casual","Morgan Ave & 14th Pl",158
"casual","Central Park Ave & Douglas Blvd",9
"casual","Orange & Addison",24
"casual","Public Rack - Chase Ave & Touhy Ave - NW",2
"casual","Vernon Ave & 107th St",18
"casual","Cottage Grove Ave & 51st St",81
"casual","Avenue O & 134th St",26
"member","Western Ave & Roscoe St",431
"member","California Ave & Division St",329
"member","Wood St & Chicago Ave",683
"member","Kenosha & Wellington",60
"member","Campbell Ave & Montrose Ave",247
"member","Cottage Grove Ave & 51st St",158
"member","DuSable Museum",69
"member","Morgan Ave & 14th Pl",505
"member","Vernon Ave & 107th St",9
"member","Kedzie Ave & Lake St",85
"member","Public Rack - Laramie Ave & Grand Ave",1
"casual","La Villita Park (Albany/30th)",11
"casual","Western Ave & 105th St",1
"member","Chicago State University",90
"member","Canal St & Madison St",2675
"casual","Field Museum",1609
"member","Larrabee St & Armitage Ave",858
"member","Franklin St & Chicago Ave",1171
"member","Lakefront Trail & Bryn Mawr Ave",620
"member","Dearborn St & Monroe St",2042
"member","Canal St & Taylor St",680
"member","Wood St & Milwaukee Ave",1197
"member","California Ave & Fletcher St",243
"member","Michigan Ave & Pearson St",1186
"member","Shields Ave & 28th Pl",481
"casual","Shedd Aquarium",1771
"member","Sedgwick St & Schiller St",343
"member","Sheffield Ave & Wrightwood Ave",1124
"member","Shedd Aquarium",683
"member","Wood St & Augusta Blvd",613
"casual","Southport Ave & Wrightwood Ave",691
"casual","Dorchester Ave & 49th St",66
"casual","Kedzie Ave & Milwaukee Ave",1076
"casual","Christiana Ave & Lawrence Ave",139
"casual","Broadway & Wilson - Truman College Vaccination Site",94
"member","Broadway & Wilson - Truman College Vaccination Site",126
"member","Southport Ave & Roscoe St",2673
"member","Daley Center Plaza",2516
"casual","Southport Ave & Roscoe St",1252
"member","Lakeview Ave & Fullerton Pkwy",2065
"casual","Daley Center Plaza",955
"member","N Green St & W Lake St",757
"casual","Michigan Ave & Pearson St",812
"casual","Lakeview Ave & Fullerton Pkwy",1123
"casual","N Green St & W Lake St",309
"member","Western Ave & Fillmore St",1079
"casual","Western Ave & Fillmore St",186
"member","Michigan Ave & Madison St",1034
"member","Wabash Ave & Adams St",1195
"member","Halsted St & Maxwell St",1316
"casual","Michigan Ave & Madison St",678
"casual","Wabash Ave & Adams St",582
"member","Southport Ave & Wrightwood Ave",1194
"casual","Sedgwick St & Schiller St",172
"member","Sedgwick St & Huron St",1796
"member","Paulina St & Flournoy St",1232
"member","Clinton St & Madison St",2789
"member","Ashland Ave & Blackhawk St",856
"member","Damen Ave & Pershing Rd",36
"casual","Clark St & Columbia Ave",138
"casual","Halsted St & 64th St",1
"member","DuSable Lake Shore Dr & Monroe St",844
"casual","Troy St & Elston Ave",144
"member","Glenwood Ave & Touhy Ave",205
"member","Clark St & Columbia Ave",333
"casual","Damen Ave & Pershing Rd",36
"member","Lake Park Ave & 56th St",1496
"member","Bissell St & Armitage Ave*",1147
"member","Sheffield Ave & Waveland Ave",2589
"member","Rush St & Superior St",1773
"casual","Sheffield Ave & Waveland Ave",1619
"member","California Ave & Winona St",151
"casual","DuSable Lake Shore Dr & Monroe St",2335
"member","Cornell Ave & Hyde Park Blvd",519
"member","Carpenter St & Huron St",1235
"casual","Ridge Blvd & Touhy Ave",67
"member","Clybourn Ave & Division St",962
"member","Lake Park Ave & 53rd St",884
"casual","Cottage Grove Ave & 83rd St",26
"member","Pine Grove Ave & Irving Park Rd",2277
"member","Ogden Ave & Chicago Ave",1690
"casual","Lake Park Ave & 53rd St",416
"casual","Sedgwick St & Huron St",617
"casual","Burling St & Diversey Pkwy",857
"member","Field Museum",473
"member","Delano Ct & Roosevelt Rd",996
"casual","Sheffield Ave & Wrightwood Ave",555
"casual","Western Ave & 111th St",21
"member","Damen Ave & Leland Ave",823
"member","Burling St & Diversey Pkwy",2072
"member","Ravenswood Ave & Lawrence Ave",2565
"member","Greenview Ave & Diversey Pkwy",989
"member","Wilton Ave & Diversey Pkwy*",355
"member","Paulina Ave & North Ave",1027
"member","Halsted St & Polk St",3527
"member","Clark St & Bryn Mawr Ave",1158
"member","Burnham Harbor",1091
"member","Eckhart Park",1091
"member","Sheffield Ave & Willow St",1354
"member","Orleans St & Hubbard St",1266
"casual","Eckhart Park",441
"casual","Sheffield Ave & Willow St",503
"casual","Kedzie Ave & Roosevelt Rd",23
"casual","Burnham Harbor",631
"member","Cottage Grove Ave & 43rd St",211
"casual","Clark St & Bryn Mawr Ave",453
"casual","Leavitt St & Belmont Ave",316
"casual","Cottage Grove Ave & 43rd St",62
"casual","Orleans St & Hubbard St",427
"member","Bosworth Ave & Howard St",151
"member","2112 W Peterson Ave",100
"casual","Ravenswood Ave & Lawrence Ave",1004
"casual","Pine Grove Ave & Irving Park Rd",1051
"member","Troy St & Elston Ave",257
"member","Kingsbury St & Kinzie St",2636
"member","Larrabee St & Webster Ave",1488
"member","Dearborn St & Van Buren St",387
"member","Clark St & Newport St",1454
"member","Wentworth Ave & Cermak Rd",584
"casual","Greenview Ave & Diversey Pkwy",517
"casual","Wentworth Ave & Cermak Rd",432
"casual","Wilton Ave & Diversey Pkwy*",187
"member","Wilton Ave & Belmont Ave",1921
"member","Loomis St & Archer Ave",108
"member","Sangamon St & Washington Blvd",1071
"member","Broadway & Granville Ave",833
"member","Southport Ave & Waveland Ave",1584
"casual","Sangamon St & Washington Blvd",329
"casual","St. Clair St & Erie St",581
"casual","Southport Ave & Waveland Ave",668
"casual","Halsted St & 35th St",150
"casual","Clark St & Lunt Ave",181
"casual","Broadway & Granville Ave",432
"member","Halsted St & 35th St",367
"member","Clark St & Lunt Ave",381
"member","Broadway & Argyle St",693
"member","Michigan Ave & Washington St",1509
"casual","Leavitt St & Armitage Ave",208
"member","Leavitt St & Armitage Ave",482
"casual","Dearborn St & Monroe St",772
"member","Throop St & Taylor St",699
"member","Morgan St & 18th St",440
"casual","Lakefront Trail & Bryn Mawr Ave",608
"member","Canal St & Monroe St",1278
"member","Damen Ave & Pierce Ave",766
"casual","Michigan Ave & 8th St",548
"casual","Artesian Ave & Hubbard St",94
"casual","Milwaukee Ave & Grand Ave",355
"casual","Racine Ave & Fullerton Ave",213
"member","Larrabee St & Kingsbury St",1322
"casual","Damen Ave & Pierce Ave",431
"casual","Racine Ave & Belmont Ave",344
"casual","Canal St & Monroe St",298
"member","Racine Ave & Fullerton Ave",740
"casual","Racine Ave & 15th St",74
"member","Racine Ave & 15th St",199
"member","Milwaukee Ave & Grand Ave",925
"member","Campbell Ave & North Ave",767
"member","Paulina St & Howard St",263
"casual","Pulaski Rd & Lake St",18
"casual","Michigan Ave & Oak St",3212
"member","Base - 2132 W Hubbard Warehouse",4
"member","Michigan Ave & Oak St",2213
"member","Sheridan Rd & Irving Park Rd",1855
"member","Broadway & Barry Ave",2906
"member","Leavitt St & Belmont Ave",404
"casual","McClurg Ct & Ohio St",880
"member","McClurg Ct & Ohio St",1906
